counter -> 1000
Loaded bmp succesfully!
res = 512
dt: 2.485300 ms
dt: 1.458100 ms
dt: 2.544900 ms
dt: 2.098000 ms
dt: 1.836400 ms
dt: 2.063400 ms
dt: 1.946600 ms
dt: 1.348600 ms
dt: 1.889300 ms
dt: 1.681900 ms
dt: 1.664000 ms
dt: 1.750500 ms
dt: 2.005300 ms
dt: 1.698900 ms
dt: 1.656200 ms
dt: 2.273000 ms
dt: 2.198600 ms
dt: 2.196900 ms
dt: 1.436200 ms
dt: 1.509000 ms
dt: 2.635200 ms
dt: 1.763700 ms
dt: 1.762400 ms
dt: 1.539700 ms
dt: 2.117000 ms
dt: 2.059100 ms
dt: 1.333600 ms
dt: 2.500500 ms
dt: 2.527200 ms
dt: 2.982000 ms
dt: 1.979700 ms
dt: 1.772900 ms
dt: 1.580700 ms
dt: 2.338300 ms
dt: 1.821800 ms
dt: 1.533200 ms
dt: 1.911300 ms
dt: 1.705500 ms
dt: 1.870600 ms
dt: 2.144600 ms
dt: 1.636900 ms
dt: 1.990000 ms
dt: 1.886600 ms
dt: 2.057900 ms
dt: 2.004000 ms
dt: 1.826800 ms
dt: 1.710600 ms
dt: 2.959500 ms
dt: 2.153200 ms
dt: 1.677900 ms
dt: 2.003300 ms
dt: 0.713800 ms
dt: 1.826600 ms
dt: 2.202700 ms
dt: 1.901500 ms
dt: 2.224300 ms
dt: 1.473300 ms
dt: 1.746300 ms
dt: 1.991200 ms
dt: 1.754800 ms
dt: 2.197000 ms
dt: 2.851700 ms
dt: 3.051900 ms
dt: 3.020000 ms
dt: 3.056300 ms
dt: 2.923400 ms
dt: 1.721200 ms
dt: 2.172900 ms
dt: 1.899000 ms
dt: 2.256800 ms
dt: 1.609600 ms
dt: 1.871700 ms
dt: 2.173900 ms
dt: 2.280400 ms
dt: 1.780100 ms
dt: 1.637500 ms
dt: 2.145400 ms
dt: 1.611600 ms
dt: 1.478200 ms
dt: 2.173200 ms
dt: 1.668000 ms
dt: 1.633000 ms
dt: 1.696100 ms
dt: 1.721900 ms
dt: 2.779800 ms
dt: 2.092900 ms
dt: 1.879100 ms
dt: 1.844900 ms
dt: 1.289900 ms
dt: 3.210500 ms
dt: 1.506400 ms
dt: 1.934400 ms
